date,month,year,upi_volume_mn,upi_value_cr,festival,is_festive,vol_mom_growth,vol_yoy_growth,avg_ticket_size,vol_3m_avg,psi_score
2020-10-01,Oct,2020,2071.62,386106.74,Navaratri,1,15.081049251724842,80.39813298965481,1863.791332387214,1830.1966666666667,61.38763680445858
2020-11-01,Nov,2020,2210.23,390999.15,Diwali,1,6.690898910031762,81.34922914085514,1769.0428145487122,2027.33,79.39277439781823
2020-12-01,Dec,2020,2234.16,416176.21,Christmas,1,1.082692751433112,70.75512075817791,1862.7860582948401,2172.0033333333336,44.515535521094584
2021-01-01,Jan,2021,2302.73,431181.89,,0,3.069162459268826,76.45170188962622,1872.481315655765,2249.04,33.24041706065831
2021-02-01,Feb,2021,2292.9,425062.76,,0,-0.42688461087491136,72.95898739524323,1853.8216232718391,2276.5966666666664,40.25551110834918
2021-03-01,Mar,2021,2731.68,504886.44,Holi,1,19.136464738976834,119.08825510891532,1848.2634862062907,2442.4366666666665,69.96734745049142
2021-04-01,Apr,2021,2641.06,493663.68,,0,-3.317372459438872,164.2196144342067,1869.1876746457863,2555.213333333333,41.608801387953534
2021-05-01,May,2021,2539.57,490638.65,Eid-ul-Fitr,1,-3.842775249331698,105.71648440664237,1931.9752950302611,2637.436666666667,0.0
2021-06-01,Jun,2021,2807.51,547373.17,,0,10.550605023685122,109.99678367603391,1949.6748720396365,2662.7133333333336,32.75989862055324
2021-07-01,Jul,2021,3247.82,606281.14,,0,15.683292312404928,116.9030827589892,1866.732577544322,2864.9666666666667,77.57503863499741
2021-08-01,Aug,2021,3555.55,639116.95,Raksha Bandhan,1,9.474970903559932,119.63702179969485,1797.5192304987977,3203.626666666667,87.73525614907672
2021-09-01,Sep,2021,3654.3,654351.81,,0,2.7773480896063907,103.0008777095115,1790.6351695263118,3485.89,71.78570850179315
2021-10-01,Oct,2021,4218.65,771444.98,Navaratri,1,15.443450181977392,103.6401463588882,1828.6536688277058,3809.5,66.53822896543227
2021-11-01,Nov,2021,4186.48,768436.11,Diwali,1,-0.7625662237919717,89.41377141745429,1835.5184068716442,4019.8099999999995,53.21915361823514
2021-12-01,Dec,2021,4566.3,826848.22,Christmas,1,9.072538266037355,104.38554087442262,1810.7619297899832,4323.81,61.0884191911549
2022-01-01,Jan,2022,4617.15,831993.11,,0,1.1135930622166557,100.50765830123373,1801.962487681795,4456.643333333333,60.26730813148453
2022-02-01,Feb,2022,4527.49,826843.0,,0,-1.9418905601940595,97.45693226917875,1826.2723937545968,4570.313333333333,30.765895939407145
2022-03-01,Mar,2022,5405.65,960581.66,Holi,1,19.396177573004024,97.88738065952087,1776.9956619462969,4850.096666666667,100.0
2022-04-01,Apr,2022,5583.05,983302.27,,0,3.281751500744612,111.39428865682719,1761.227769767421,5172.063333333333,84.77314542607816
2022-05-01,May,2022,5955.2,1041520.07,Eid-ul-Fitr,1,6.665711394309559,134.49639112133153,1748.9254265180011,5647.966666666667,76.94685226334184
2022-06-01,Jun,2022,5862.75,1014384.31,,0,-1.552424771628158,108.82383321875966,1730.2192827597971,5800.333333333333,67.82975011343055
2022-07-01,Jul,2022,6288.4,1062991.76,,0,7.260244765681634,93.61910450702315,1690.4009923032886,6035.45,77.678749103273
2022-08-01,Aug,2022,6579.63,1072792.68,Raksha Bandhan,1,4.631225748998169,85.05238289434827,1630.475695441841,6243.593333333333,90.07481120441727
2022-09-01,Sep,2022,6780.8,1116438.1,Navaratri,1,3.057466757249272,85.55674137317679,1646.4695906087777,6549.61,72.26145659806534
2022-10-01,Oct,2022,7305.42,1211582.51,Diwali,1,7.736845210004728,73.16961587237626,1658.4707107873332,6888.616666666668,69.69380180480091
2022-11-01,Nov,2022,7309.45,1190593.39,,0,0.05516452168390362,74.59655844528102,1628.8412808077212,7131.889999999999,66.15203189736928
2022-12-01,Dec,2022,7829.49,1282055.01,Christmas,1,7.114625587424506,71.46245318967215,1637.4693753999302,7481.453333333334,65.4301074184551
2023-01-01,Jan,2023,8036.89,1298726.62,,0,2.648959255328265,74.06603640774073,1615.9566946916036,7725.276666666666,79.49793069187767
2023-02-01,Feb,2023,7534.76,1235846.62,,0,-6.247814764168725,66.42245482596319,1640.193742070086,7800.38,28.432581250783656
2023-03-01,Mar,2023,8685.3,1410443.01,Holi,1,15.269763071418318,60.67077964722096,1623.9427653621638,8085.649999999999,80.08316618623442
2023-04-01,Apr,2023,8863.26,1415504.71,Eid-ul-Fitr,1,2.048979309868404,58.753011346844474,1597.0474859137607,8361.106666666667,90.660023881243
2023-05-01,May,2023,9415.19,1489145.44,,0,6.227166979192766,58.10031569048899,1581.6414113788462,8987.916666666666,82.75799774347557
2023-06-01,Jun,2023,9335.06,1475464.26,,0,-0.8510715131611946,59.226642787087954,1580.5621602860613,9204.503333333332,66.47837682138476
2023-07-01,Jul,2023,9964.61,1533536.44,,0,6.743930944203913,58.46018065008589,1538.9829004848157,9571.62,80.63646259782384
2023-08-01,Aug,2023,10586.02,1576536.56,Raksha Bandhan,1,6.236169804939684,60.89080996955756,1489.2627824243673,9961.896666666666,91.742925167234
2023-09-01,Sep,2023,10555.69,1579133.18,,0,-0.2865099442472263,55.67027489381784,1496.00185302903,10368.773333333333,68.79707094359627
