month_type,total_months,total_volume_mn,avg_volume_mn,total_value_cr,avg_value_cr,avg_ticket_size,avg_mom_growth
Festive Month,39,315455.02,8088.59,46795145.56,1199875.53,1623.85,7.35
Non Festive Month,44,385084.53,8751.92,56301235.16,1279573.53,1612.39,1.53
